ID	Length	String
STR_SYSTEM_CHARCTER	188	<text>text="人物信息" font=65 </text><text>text="  （<KEY TOGGLE_EQUIP_PANEL>）"font=65</text><text>text="\\\n关于你的各种信息，包括战斗属性、装备、称号、声望、坐骑等等。" font=106 </text>
STR_SYSTEM_SKILL	232	<text>text="武学" font=65 </text><text>text="  （<KEY TOGGLE_SKILL_PANEL>）"font=65</text><text>text="\\\n你所有的招式、内功和轻功，如果你想要将它们拖到快捷栏上，就打开武学窗口，左键点击它们，然后将其拖到动作条上。" font=106 </text>
STR_SYSTEM_CRAFT	194	<text>text="技艺" font=65 </text><text>text="  （<KEY TOGGLE_CRAFT_PANEL>）"font=65</text><text>text="\\\n你所学会的所有技艺，如果你想要制作某个你已学会的物品，就打开这个窗口。" font=106 </text>
STR_SYSTEM_QUEST	170	<text>text="任务" font=65 </text><text>text="  （<KEY TOGGLE_QUEST_PANEL>）"font=65</text><text>text="\\\n你现在拥有的任务。你最多可以同时拥有25个任务。" font=106 </text>
STR_SYSTEM_RELATION	205	<text>text="社交" font=65 </text><text>text="  （<KEY TOGGLE_FRIEND_PANEL>）"font=65</text><text>text="\\\n关于游戏中的其他玩家的信息。你可以打开这个窗口来编辑你的好友名单、你的队员名单。" font=106 </text>
STR_SYSTEM_GUILD	255	<text>text="帮会" font=65 </text><text>text="  （<KEY TOGGLE_GUILD_PANEL>）"font=65</text><text>text="\\\n查看关于你所在帮会及其会的信息。如果你是帮会的管理人员，还可以在这个界面进行帮会的管理工作。首次加入帮会将会获赠江湖贡献值10000点。" font=106 </text>
STR_SYSTEM_READ	168	<text>text="阅读" font=65 </text><text>text="  （<KEY TOGGLE_STUDY_PANEL>）"font=65</text><text>text="\\\n收录你已经阅读过的书籍，你可以进行查阅或抄录" font=106 </text>
STR_SYSTEM_SYSTEM	221	<text>text="系统" font=65 </text><text>text="  （<KEY TOGGLE_OPTION_PANEL>）"font=65</text><text>text="\\\n你可以在这里修改你的视频、音频、界面设置，或者自定义快捷键。你还可以选择返回人物界面和退出游戏。" font=106 </text>
STR_SYSTEM_UI_CUSTOM_MODE	165	<text>text="自定义界面" font=65 </text><text>text="  （<KEY TOGGLE_UI_CUSTOM_MODE>）"font=65</text><text>text="\\\n你可以在这里修改你的主界面布局。" font=106 </text>
STR_SYSTEM_MAP	148	<text>text="地图" font=65 </text><text>text="  （<KEY TOGGLE_MIDDLEMAP>）"font=65</text><text>text="\\\n显示你当前所在区域的地图。" font=106 </text>
STR_TIP_PLAYER	72	当你在一个队伍中时，你可以右键单击你的头像，来打开你的快捷组队操作菜单。
STR_TIP_FIGHTING	6	战斗中
STR_TIP_TARGET	38	右键单击可以打开与这名玩家的互动菜单。
STR_TIP_RBUTTONSKILL	34	这里放置你点击右键时会释放的技能。
STR_TIP_NEIGONG	90	这里放置你的内功，右键点击未装备的内功会进行装备或是切换，右键点击已装备的内功会解除内功。
STR_TIP_CHATCHANNEL	60	选择你需要的聊天频道，你所说的话将发给在这个频道中的所有人。
STR_TIP_CHATSET	58	左键点击拖动\n右键点击打开选单\n光标移动到时可改变窗体大小
STR_TIP_NEWMAIL	22	你有新的未打开的信件。
STR_TIP_PING	100	连接服务器的速度，绿色表示速度良好，红色表示延迟严重，请你根据你的网络状态选择连接速度良好的服务器。
STR_TITLE_PROPERTY	8	人物属性
STR_TITLE_CHARACTER	4	角色
STR_EQUIP_HELM	4	帽子
STR_EQUIP_AMULET	4	项链
STR_EQUIP_CHEST	4	上衣
STR_EQUIP_BANGLE	4	护腕
STR_EQUIP_WAIST	4	腰带
STR_EQUIP_PANTS	4	下装
STR_EQUIP_BOOTS	4	鞋子
STR_EQUIP_ENTEND	8	腰部挂件
STR_EQUIP_PENDANT	4	腰坠
STR_EQUIP_RING	4	戒指
STR_EQUIP_MELEEWEAPON	8	近身武器
STR_EQUIP_RANGEWEAPON	8	远程武器
STR_EQUIP_AMMOPOUCH	8	暗器弹药
STR_PROPERTY_HEALTH	4	气血
STR_PROPERTY_MANA	4	内力
STR_PROPERTY_RAGE	4	剑气
STR_PROPERTY_EXP	4	经验
STR_PROPERTY_STRENGTH	4	力道
STR_PROPERTY_AGILITY	4	身法
STR_PROPERTY_VIGOR	4	体质
STR_PROPERTY_SPIRIT	4	根骨
STR_PROPERTY_JINSHEN	4	元气
STR_PROPERTY_INTELLECT	5	智力 
STR_PROPERTY_FASCINATION	5	魅力 
STR_PROPERTY_HIT	4	命中
STR_PROPERTY_DODGE	4	闪避
STR_PROPERTY_CRITICAL	4	会心
STR_PROPERTY_PHYSICDAMAGE	8	外功伤害
STR_PROPERTY_SPUNKDAMAGE	8	内功攻击
STR_PROPERTY_PHYSICDEFENCE	8	外功防御
STR_PROPERTY_SOLOR	2	阳
STR_PROPERTY_NEUTRAL	2	混
STR_PROPERTY_LUNAR	2	阴
STR_PROPERTY_POSION	2	毒
