ID	Length	String
STR_SYSTEM_CHARCTER	32	<text>text="人物信息" font=65 </text><text>text="  （<KEY TOGGLE_EQUIP_PANEL>）"font=65</text><text>text="\\\n关于你的各种信息，包括战斗属性、装备、称号、声望、坐骑等等。" font=106 </text>
STR_SYSTEM_SKILL	32	<text>text="武学" font=65 </text><text>text="  （<KEY TOGGLE_SKILL_PANEL>）"font=65</text><text>text="\\\n你所有的招式、内功和轻功，如果你想要将它们拖到快捷栏上，就打开武学窗口，左键点击它们，然后将其拖到动作条上。" font=106 </text>
STR_SYSTEM_CRAFT	32	<text>text="技艺" font=65 </text><text>text="  （<KEY TOGGLE_CRAFT_PANEL>）"font=65</text><text>text="\\\n你所学会的所有技艺，如果你想要制作某个你已学会的物品，就打开这个窗口。" font=106 </text>
STR_SYSTEM_QUEST	32	<text>text="任务" font=65 </text><text>text="  （<KEY TOGGLE_QUEST_PANEL>）"font=65</text><text>text="\\\n你现在拥有的任务。你最多可以同时拥有25个任务。" font=106 </text>
STR_SYSTEM_RELATION	32	<text>text="社交" font=65 </text><text>text="  （<KEY TOGGLE_FRIEND_PANEL>）"font=65</text><text>text="\\\n关于游戏中的其他玩家的信息。你可以打开这个窗口来编辑你的好友名单、你的队员名单。" font=106 </text>
STR_SYSTEM_GUILD	32	<text>text="帮会" font=65 </text><text>text="  （<KEY TOGGLE_GUILD_PANEL>）"font=65</text><text>text="\\\n查看关于你所在帮会及其会的信息。如果你是帮会的管理人员，还可以在这个界面进行帮会的管理工作。首次加入帮会将会获赠江湖贡献值10000点。" font=106 </text>
STR_SYSTEM_READ	32	<text>text="阅读" font=65 </text><text>text="  （<KEY TOGGLE_STUDY_PANEL>）"font=65</text><text>text="\\\n收录你已经阅读过的书籍，你可以进行查阅或抄录" font=106 </text>
STR_SYSTEM_SYSTEM	32	<text>text="系统" font=65 </text><text>text="  （<KEY TOGGLE_OPTION_PANEL>）"font=65</text><text>text="\\\n你可以在这里修改你的视频、音频、界面设置，或者自定义快捷键。你还可以选择返回人物界面和退出游戏。" font=106 </text>
STR_SYSTEM_UI_CUSTOM_MODE	32	<text>text="自定义界面" font=65 </text><text>text="  （<KEY TOGGLE_UI_CUSTOM_MODE>）"font=65</text><text>text="\\\n你可以在这里修改你的主界面布局。" font=106 </text>
STR_SYSTEM_MAP	32	<text>text="地图" font=65 </text><text>text="  （<KEY TOGGLE_MIDDLEMAP>）"font=65</text><text>text="\\\n显示你当前所在区域的地图。" font=106 </text>
STR_TIP_PLAYER	32	当你在一个队伍中时，你可以右键单击你的头像，来打开你的快捷组队操作菜单。
STR_TIP_FIGHTING	32	战斗中
STR_TIP_TARGET	32	右键单击可以打开与这名玩家的互动菜单。
STR_TIP_RBUTTONSKILL	32	这里放置你点击右键时会释放的技能。
STR_TIP_NEIGONG	32	这里放置你的内功，右键点击未装备的内功会进行装备或是切换，右键点击已装备的内功会解除内功。
STR_TIP_CHATCHANNEL	32	选择你需要的聊天频道，你所说的话将发给在这个频道中的所有人。
STR_TIP_CHATSET	32	左键点击拖动\n右键点击打开选单\n光标移动到时可改变窗体大小
STR_TIP_NEWMAIL	32	你有新的未打开的信件。
STR_TIP_PING	32	连接服务器的速度，绿色表示速度良好，红色表示延迟严重，请你根据你的网络状态选择连接速度良好的服务器。
STR_TITLE_PROPERTY	16	人物属性
STR_TITLE_CHARACTER	16	角色
STR_EQUIP_HELM	16	帽子
STR_EQUIP_AMULET	16	项链
STR_EQUIP_CHEST	16	上衣
STR_EQUIP_BANGLE	16	护腕
STR_EQUIP_WAIST	16	腰带
STR_EQUIP_PANTS	16	下装
STR_EQUIP_BOOTS	16	鞋子
STR_EQUIP_ENTEND	32	腰部挂件
STR_EQUIP_PENDANT	16	腰坠
STR_EQUIP_RING	16	戒指
STR_EQUIP_MELEEWEAPON	16	近身武器
STR_EQUIP_RANGEWEAPON	16	远程武器
STR_EQUIP_AMMOPOUCH	16	暗器弹药
STR_PROPERTY_HEALTH	16	气血
STR_PROPERTY_MANA	16	内力
STR_PROPERTY_RAGE	16	剑气
STR_PROPERTY_EXP	16	经验
STR_PROPERTY_STRENGTH	16	力道
STR_PROPERTY_AGILITY	16	身法
STR_PROPERTY_VIGOR	16	体质
STR_PROPERTY_SPIRIT	16	根骨
STR_PROPERTY_JINSHEN	16	元气
STR_PROPERTY_INTELLECT	16	智力 
STR_PROPERTY_FASCINATION	16	魅力 
STR_PROPERTY_HIT	16	命中
STR_PROPERTY_DODGE	16	闪避
STR_PROPERTY_CRITICAL	16	会心
STR_PROPERTY_PHYSICDAMAGE	16	外功伤害
STR_PROPERTY_SPUNKDAMAGE	16	内功攻击
STR_PROPERTY_PHYSICDEFENCE	16	外功防御
STR_PROPERTY_SOLOR	16	阳
STR_PROPERTY_NEUTRAL	16	混
STR_PROPERTY_LUNAR	16	阴
STR_PROPERTY_POSION	16	毒
STR_TIP_HEALTH	32	<text>text="气血" font=65 </text><text>text="\\\n你现在拥有的气血值，当这个值为零的时候，你就会重伤，战斗不能。当你不在战斗状态超过5秒，这个值会慢慢恢复。" font=106 </text>
STR_TIP_MANA	32	<text>text="内力" font=65 </text><text>text="\\\n你现在拥有的内力值，你需要使用内力值来使用你的招式。如果你不在施放招式状态超过5秒，这个值就会慢慢恢复。" font=106 </text>
STR_TIP_RAGE	32	<text>text="剑气" font=65 </text><text>text="\\\n你现在拥有的剑气值，你需要使用剑气值来使用你的招式。如果你不在运气状态超过5秒，这个值就会慢慢恢复。" font=106 </text>
STR_TIP_EXP	32	<text>text="阅历" font=65 </text><text>text="\\\n你目前拥有的阅历和你升到下一级所需要的阅历。你可以在界面设置中决定是否需要将数值直接显示出来。" font=106 </text>
STR_TIP_JING	32	<text>text="精" font=65 </text><text>text="\\\n表示你的双倍阅历时间。" font=106 </text>
STR_TIP_QI	32	<text>text="气" font=65 </text><text>text="\\\n表示你的双倍内功时间。" font=106 </text>
STR_TIP_SHEN	32	<text>text="神" font=65 </text><text>text="\\\n你的技艺修炼和快速传送需要消耗这个值，当这个值为零时，你将不能进行技艺和快速传送的操作。" font=106 </text>
STR_TIP_STRENGTH	32	<text>text="力量" font=65 </text><text>text="\\\n你力气的大小，提高你的外功攻击能力。" font=106 </text>
STR_TIP_AGILITY	32	<text>text="身法" font=65 </text><text>text="\\\n你的敏捷程度，提高你的闪避和外功会心一击的几率。" font=106 </text>
STR_TIP_VIGOR	32	<text>text="体质" font=65 </text><text>text="\\\n你的健康状况，提高你的最大气血值。" font=106 </text>
STR_TIP_SPIRIT	32	<text>text="根骨" font=65 </text><text>text="\\\n你的内力多少，提高你的最大内力值，提高内功和毒的会心一击的几率。" font=106 </text>
STR_TIP_JINSHEN	32	<text>text="元气" font=65 </text><text>text="\\\n你的恢复能力，提高你的气血和内力回复速度，提高你的内功攻击力。" font=106 </text>
STR_TIP_INTELLECT	32	<text>text="智力" font=65 </text><text>text="\\\n你的学习能力。" font=106 </text>
STR_TIP_FASCINATION	32	<text>text="魅力" font=65 </text><text>text="\\\n你对特定女性门派技艺的学习能力。" font=106 </text>
STR_TIP_PHYSICDAMAGE	32	<text>text="外功攻击力" font=65 </text><text>text="\\\n你用外功攻击的战斗力，提高你的外功伤害。" font=106 </text>
STR_TIP_SPUNKDAMAGE	32	<text>text="内功攻击力" font=65 </text><text>text="\\\n你用内功攻击敌人的战斗力，提高你的内功（阳性、阴性、中性全部）伤害。" font=106 </text>
STR_TIP_PHYSICDEFENCE	32	<text>text="外功防御力" font=65 </text><text>text="\\\n提高你抵御敌人外功攻击的能力。" font=106 </text>
